date,views,likes,comments,dislikes,shares,subscribersLost,subscribersGained,estimatedMinutesWatched
2021-11-17,160,7,1,0,9,1,5,299
2022-01-27,289,7,0,0,4,0,5,327
2022-04-20,365,7,0,0,9,2,5,821
2021-04-27,246,10,1,0,1,0,5,317
2021-05-05,225,10,1,0,1,0,5,475
2022-06-05,328,12,0,0,1,1,5,505
2022-01-18,326,15,0,0,1,0,5,440
2021-03-25,270,19,8,0,1,0,5,194
2021-08-02,154,3,0,0,1,1,6,136
2022-02-08,309,3,0,0,2,0,6,428
2021-03-08,35,4,0,0,1,0,6,27
2022-03-16,211,4,0,0,3,2,6,344
2021-10-09,174,5,0,0,0,0,6,251
2021-08-19,148,7,0,0,0,2,6,173
2021-03-20,236,12,3,0,1,0,6,87
2021-05-10,284,12,1,0,2,2,6,362
2022-06-08,359,12,0,0,8,1,6,702
2021-03-12,126,14,1,0,0,1,6,89
2022-01-16,314,10,0,0,3,1,7,313
2021-03-16,219,11,0,0,0,6,7,98
2022-05-29,303,16,2,0,2,0,7,434
2021-03-24,315,28,3,0,0,0,7,243
2022-02-17,337,7,0,0,4,0,9,455
2022-02-16,367,12,2,0,2,0,9,562
2021-03-18,211,17,3,0,2,0,9,132
2021-04-28,235,7,1,0,0,0,10,247
2021-03-09,95,9,6,0,1,3,10,47
2021-04-20,254,19,6,0,0,0,13,396
2021-03-10,231,36,14,0,1,1,27,155
